"Plane Section: Position[X] (m)","Plane Section: Velocity[j] (m/s)"
0.009632364864792561,0.004190802019254148
0.008985472623261576,-2.502845975757757E-4
0.008338578502245632,-0.01615513174209964
0.007691682517572695,-0.041474243243488404
0.007044784684893498,-0.07302346666935161
0.006397885019684012,-0.10519838084458276
0.0057509835372478915,-0.13228703992194726
0.005104080252718865,-0.152239740948279
0.004457175181063082,-0.16592591473957485
0.003810268337081418,-0.1747398351947359
0.003163359735411763,-0.1797123219314211
0.0025164493905312567,-0.181852853478184
0.0018695373167584833,-0.18190572015077894
0.0012226235282556388,-0.180435949984376
5.757080390306644E-4,-0.1778565224568757
-4.847125105823257E-5,-0.1745686312019002
-6.695417754320802E-4,-0.17063585448805765
-0.0013102228348177182,-0.16587351257691965
-0.0019508682576713302,-0.16023878079487952
-0.0025914777504736338,-0.15358492274713284
-0.0032320510164730466,-0.14580366711723405
-0.003872587755641075,-0.13683724188918728
-0.004513087664626952,-0.12655293091578756
-0.005153550436711528,-0.11446315442109158
-0.005793975761760384,-0.09957087346456937
-0.006434363326176164,-0.08096923355380027
-0.00707471281285011,-0.05930755172285069
-0.007715023901112769,-0.03744302462789396
-0.008355296266683885,-0.01889489293944891
-0.008995529581621422,-0.005924495411593408
-0.009635723514269738,3.939069896064214E-4
