"Plane Section: Position[X] (m)","Plane Section: Velocity[j] (m/s)"
0.009930323063328125,0.0013034014078004618
0.009762325428647254,0.003333562907270068
0.009558599823556719,0.004554882186943858
0.009311111025891525,0.0042206329457626715
0.009010361480427685,0.0011750833177157343
0.008645796291605935,-0.006282237566024509
0.008206557063378361,-0.020301381796856647
0.007681884619459468,-0.043111242813842626
0.0070601087290580854,-0.07553956472240382
0.006326167518712938,-0.113229050771475
0.0054591464713681665,-0.14623632358874195
0.004431163543004197,-0.1685052769244714
0.003314763528044067,-0.1790324843295277
0.0022000868373361657,-0.18144444116044764
0.0010883780187948807,-0.17947426835335284
-2.0295763244387323E-5,-0.17434479377668433
-0.001128942659679665,-0.16692827191362664
-0.002240486281636193,-0.15713178706318895
-0.0033546553598278336,-0.1443724430309678
-0.004469894836001827,-0.12812419159398472
-0.0054956306188525175,-0.10820324956547032
-0.006358883421616445,-0.08449384054429068
-0.007087400383047102,-0.058931343702859754
-0.007702589785264469,-0.03676489730862581
-0.008220601029605088,-0.02056135395663268
-0.008654235639663983,-0.010006787695131577
-0.009014834074230075,-0.003782192916516953
-0.00931318031708918,-5.370832365140601E-4
-0.00955940711630978,7.943098006140258E-4
-0.00976256509125054,9.627809656880515E-4
-0.009930362806412987,4.648089777358277E-4
