"Plane Section: Position[X] (m)","Plane Section: Velocity[j] (m/s)"
0.009925661753930962,1.7591282900668165E-4
0.009862010115319102,3.7490310498690323E-4
0.009791230086915934,3.820335484860958E-4
0.009712424121201988,1.2426836607329082E-4
0.009624575613105863,-4.91586531355653E-4
0.009526542386729377,-0.001581323322238684
0.009417057423228844,-0.0032832288105467426
0.00929474126049212,-0.005762263565859491
0.009158130905614011,-0.00920606467342999
0.009005728985630963,-0.013810190568356513
0.008836073072176511,-0.01975535141989886
0.008647817878442772,-0.02717372575304156
0.008439813090778316,-0.03610851639011326
0.00821115042634989,-0.046482187654279555
0.007961151154754145,-0.05808453692109189
0.00768927549558482,-0.07059310396141599
0.007394958191793103,-0.08361012656052212
0.0070774014843918934,-0.09670724990450935
0.006735373556137987,-0.1094694046651271
0.006367057297856358,-0.1215324216122672
0.0059699729617217374,-0.1326095490059605
0.005540971217929135,-0.1425043051831162
0.005076273585267849,-0.15109919150348838
0.004571531116503541,-0.15831887303957087
0.004021877201175907,-0.16410535262501888
0.0034415608048385003,-0.16835294051580568
0.002855491619066809,-0.1709650612590953
0.002271560181797547,-0.17209764580860162
0.0016893688671300957,-0.17195933024929044
0.0011085777166714326,-0.17072592390850283
5.289030844851739E-4,-0.1685306516472637
-4.848911791987252E-5,-0.1654971558548681
-6.258562638641212E-4,-0.1617733161952796
-0.0012054418368653789,-0.15741427527062307
-0.0017860468789552418,-0.15236079888806006
-0.0023679098779879025,-0.14695325149132776
-0.0029513103975722524,-0.14100763432707053
-0.003536567562114019,-0.134434508615964
-0.004115692497258064,-0.1272062447094216
-0.004663658014957705,-0.11946993185257374
-0.005166082384414843,-0.11124527783961004
-0.005627694380013228,-0.10245490923803696
-0.0060527187866507084,-0.09309517706183548
-0.006444849908834559,-0.08327081800341946
-0.006807223652084535,-0.07319226530781703
-0.007142404621912264,-0.063141026962543
-0.007452406544854677,-0.05342116883711178
-0.0077387592487719245,-0.04431402545120836
-0.008002622748379158,-0.03604426175189699
-0.00824493259249471,-0.02875931094772886
-0.008466548102968992,-0.022522735626399785
-0.008668373197562642,-0.01732164110723013
-0.008851429244730532,-0.013084597319623087
-0.009016875490292856,-0.009703651595259665
-0.00916598711127807,-0.007054704300450606
-0.009300108497375208,-0.005013690489291719
-0.0094205992964526,-0.0034664982454444358
-0.009528785886276911,-0.002313722081564992
-0.009625924783508244,-0.0014719747940465714
-0.009713179470826084,-8.73030168935492E-4
-0.009791609067994252,-4.6202625725967335E-4
-0.00986216599350926,-1.953721745970752E-4
-0.009925699654108909,-3.876416808520263E-5
